# time x y cluster_labels
315501090.0000000 481472.7119873 4648923.8774634 0.0000000
315501150.0000000 489000.0999932 4653729.2257342 0.0000000
315501180.0000000 484036.3279070 4625689.5658844 0.0000000
315501360.0000000 461419.4440988 4628843.7816697 0.0000000
315501390.0000000 471597.7012701 4632302.1589803 0.0000000
315501450.0000000 485403.3583657 4652420.8960999 0.0000000
315501480.0000000 487682.5223813 4647595.5600719 0.0000000
315501510.0000000 463040.7036156 4687858.3907121 -1.0000000
315501600.0000000 481433.8423421 4634022.8201367 0.0000000
315501660.0000000 492528.4991274 4590616.1496453 0.0000000
315501810.0000000 468875.1000149 4609085.6874994 0.0000000
315501960.0000000 495173.4290039 4602446.2522512 0.0000000
315501990.0000000 487615.8061853 4609028.9311615 0.0000000
315502050.0000000 477913.1777413 4660767.6290585 0.0000000
315502080.0000000 475150.8660752 4617388.0339485 0.0000000
315502230.0000000 470210.2549932 4613900.8190769 0.0000000
315502260.0000000 454391.1500477 4657666.1020503 0.0000000
315502260.0000000 470336.1894331 4644140.6485987 0.0000000
315502320.0000000 463875.2178385 4595523.2937083 0.0000000
315502380.0000000 455332.3745019 4599077.1674109 0.0000000
315502410.0000000 446641.8638422 4625870.9573569 0.0000000
315502440.0000000 440166.0099017 4636002.9980741 -1.0000000
